boss_foursquare_v1,foursquare_v1,booth_number,name,latitude,longitude
6677890,,1,Bobak Sausage Company,41.880222,-87.620872
1987627,,2,lyanze,41.880027,-87.620854
4435193,,3,La Justicia,41.87985,-87.620859
476132,,4,Ricobene's,41.879673,-87.620855
4970110,,5,JR Dessert Bakery,41.879561,-87.62086
203163,,6,Vermilion,41.879429,-87.62085
306878,,7,Chicago Joe's,41.879032,-87.620829
61039,,8,Billy Goat Tavern & Grill,41.878875,-87.620831
4801231,,9,Guey Lon,41.878749,-87.620825
408981,,10,Bacino's Pizza of Lincoln Park,41.87858,-87.620807
9025,,11,Abbey Pub,41.878537,-87.62
76367,,12,Texas de Brazil,41.878543,-87.619776
24282400,,13,Polka Sausage and Deli,41.878533,-87.61964
7704,,14,Cubby Bear,41.878537,-87.61946
1077813,,15,Churro Factory,41.878552,-87.618633
225081,,16,Alhambra Palace,41.878541,-87.618426
419620,,17,Beggars Pizza,41.878547,-87.618221
3685017,,18,The Fudge Pot,41.878543,-87.618081
1609895,,19,Chicago Sweet Connection Bakery,41.878258,-87.618082
14988810,,20,Banana Leaf Restaurant,41.878248,-87.618171
19282320,,21,Carbón,41.878265,-87.618353
171769,,22,Garrett Popcorn Shops,41.878239,-87.619405
61038,,23,Hashbrowns,41.878255,-87.619616
1120526,,24,The Noodle Vietnamese Cuisine,41.878257,-87.619811
5414997,,25,C'est Si Bon!,41.878245,-87.619975
6561530,,26,Vee Vee's African Cuisine,41.878239,-87.620126
1282202,,27,Robinson's No.1 Ribs,41.878063,-87.620468
318968,,28,Eli's Cheesecake,41.87793,-87.620469
20052865,,29,Home Run Inn Pizza,41.877779,-87.620462
82424,,30,Tuscany,41.877663,-87.620458
5114837,,31,BJ's Market and Bakery,41.877556,-87.620462
42454,,32,Star of Siam,41.877431,-87.62046
47410,,33,Vienna Beef/Gold Coast Dog,41.877302,-87.620462
18016,,34,Harry Caray's,41.877195,-87.620448
3938952,,35,Oak Street Beach Café,41.876898,-87.620456
50036,,36,Lou Malnati's Pizza,41.876753,-87.620426
6173918,,37,Polo Café & Catering,41.876647,-87.620434
620690,,38,Tutto Italiano,41.876537,-87.620419
79079,,39,Kasia's Deli,41.876414,-87.620405
16459299,,40,Sabor Latino,41.876295,-87.620402
50472,,41,Reggio's Pizza,41.876162,-87.620386
2168095,,42,Original Rainbow Cone,41.876052,-87.620388
80803,,43,Dominick's,41.87591,-87.620944
1213506,,44,Connie's Pizza,41.87565,-87.62094
15126505,,45,Harold's Chicken #71,41.875515,-87.620374
85504,,46,O'Brien's,41.8754,-87.620367
3046438,,47,Franco's Ristorante,41.875295,-87.620369
52316,,48,Adobo Grill,41.875161,-87.62036
42638,,49,Lao Sze Chuan,41.875064,-87.620363
97560,,50,Pegasus Restaurant & Taverna,41.874951,-87.620369
63005,,51,Lagniappe-Creole Cajun Joynt,41.874838,-87.620368
23268925,,52,Parrot Cage Restaurant,41.87474,-87.620354
41563,,53,Manny's Cafeteria & Delicatessen,41.874423,-87.620347
9179,,54,The Smoke Daddy,41.874281,-87.620354
416033,,55,Starfruit Cafe,41.874166,-87.620367
1127475,,56,Arya Bhavan,41.874329,-87.620717
1211418,,57,Loving Hut,41.874212,-87.620754
24079,,58,Timothy O'Toole's Pub,41.874044,-87.620766
3757103,,59,Ryba's Fudge Shops,41.873836,-87.620778
